"","Observed","Shannon","Simpson"
"N10_filt.fastq_NH_no_map",4013,4.31462640358144,0.898753199788062
"N11_filt.fastq_NH_no_map",3601,4.33011824568022,0.902278024021106
"N12_filt.fastq_NH_no_map",3589,4.25803234453425,0.897260629020689
"N13_filt.fastq_NH_no_map",3531,4.55020542095308,0.915752914924626
"N14_filt.fastq_NH_no_map",4363,4.29956333879444,0.896740804242191
"N15_filt.fastq_NH_no_map",3877,4.27465320825684,0.897001733138953
"N16_filt.fastq_NH_no_map",4449,4.3234288266635,0.896554096973209
"N17_filt.fastq_NH_no_map",2902,4.57322027011876,0.913575086242921
"N18_filt.fastq_NH_no_map",2660,4.61057369671294,0.916566589883306
"N19_filt.fastq_NH_no_map",2336,4.54791134718192,0.914998584213652
"N1_filt.fastq_NH_no_map",4222,4.33198606631834,0.898807399448825
"N20_filt.fastq_NH_no_map",2607,4.62528142323567,0.916045529927874
"N2_filt.fastq_NH_no_map",4165,4.26708458527672,0.896250944025325
"N3_filt.fastq_NH_no_map",4054,4.55974743890144,0.908930341909974
"N4_filt.fastq_NH_no_map",3998,4.30866087256485,0.897281365910064
"N5_filt.fastq_NH_no_map",3595,4.28578892031781,0.900596409903329
"N6_filt.fastq_NH_no_map",4000,4.31240128541801,0.898358875867632
"N7_filt.fastq_NH_no_map",3323,4.2424166807109,0.894910014392965
"N8_filt.fastq_NH_no_map",3623,4.19093812405306,0.892201894718097
"N9_filt.fastq_NH_no_map",4260,4.28545726290154,0.896142799875639
"T10_filt.fastq_NH_no_map",4266,4.2689870314999,0.894490406495276
"T11_filt.fastq_NH_no_map",3884,4.36320537765602,0.904954523185238
"T12_filt.fastq_NH_no_map",4275,4.33608908522583,0.900280751594083
"T13_filt.fastq_NH_no_map",4275,4.2661115685393,0.895395699943178
"T14_filt.fastq_NH_no_map",4203,4.2729720834463,0.898232702908805
"T15_filt.fastq_NH_no_map",4371,4.28174197429281,0.897577190190993
"T16_filt.fastq_NH_no_map",4395,4.24078535940119,0.891957369395736
"T17_filt.fastq_NH_no_map",4257,4.91702967128597,0.928094554356588
"T18_filt.fastq_NH_no_map",4313,4.97698873184067,0.931426635494459
"T19_filt.fastq_NH_no_map",3998,4.85732585018896,0.925204448227925
"T1_filt.fastq_NH_no_map",3923,4.18258930186744,0.89402510472306
"T20_filt.fastq_NH_no_map",4013,4.83018710714035,0.924526383036807
"T2_filt.fastq_NH_no_map",3992,4.32357176608317,0.901795870303063
"T3_filt.fastq_NH_no_map",4168,4.3364814012482,0.90256126208908
"T4_filt.fastq_NH_no_map",3113,4.16223205608499,0.900338369672456
"T5_filt.fastq_NH_no_map",4107,4.4599864777759,0.908938632225827
"T6_filt.fastq_NH_no_map",4242,4.46735560985066,0.908536863293394
"T7_filt.fastq_NH_no_map",4265,4.14698657800955,0.885844481677442
"T8_filt.fastq_NH_no_map",4371,4.21859208340355,0.891626827961363
"T9_filt.fastq_NH_no_map",4093,4.21534672094523,0.890386067138692
