Sample_name,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
RT1,0,0,0.06224005,0.068574026,0,0.410615959,0,0.027738791,0.027896496,0,0.115142984,0,0.021588368,0.093724559,0.115050949,0.038866183,0,0.00456207,0,0.013999567,0,0
RT2,0,0,0.004942789,0,0,0.493678154,0,0,0,0,0.144989076,0,0,0.187301652,0.005218324,0.013163644,0,0.064408075,0,0.086298287,0,0
RT3,0,0.016624729,0.116442431,0.019514595,0,0.64494612,0,0,0,0,0.059308575,0.010305256,0.051298857,0.015332366,0,0,0,0.032617129,0,0.011853858,0.021756084,0
RT4,0,0,0.004813598,0,0.017614529,0.346681437,0,0,0,0,0.085267575,0,0.04190867,0.154033462,0,0,0,0.123402287,0,0.070004095,0.02721487,0.129059477
RT5,0.028364034,0,0.131455916,0,0.017510757,0.352421501,0,0,0,0,0.10058098,0,0,0.190577616,0.014918087,0.102266473,0,0.027502328,0.022626151,0.011776157,0,0
RT6,0.044322811,0,0.092274594,0,0,0.396252312,0,0,0.02565071,0,0.034537414,0.044573332,0.006083937,0.203897592,0.106694287,0,0,0.022332924,0.018819972,0,0,0.004560116
RT7,0,0,0,0,0.061900439,0.424435129,0,0,0,0,0.149298563,0,0.055838286,0.13390475,0,0,0,0.074162859,0,0.083275768,0,0.017184206
RT8,0,0,0,0,0.068019392,0.424340835,0,0,0,0,0.16221171,0,0.073146522,0.06465737,0,0,0,0.081498507,0,0.11418319,0.011942473,0
RT9,0,0,0.200446744,0,0,0.493429548,0,0,0,0,0.079946545,0,0.043968721,0.073432141,0,0.04621405,0,0.050205399,0,0.012356852,0,0
RT10,0,0,0.005144967,0.007445475,0.165569605,0.189734031,0,0,0,0,0.145862045,0,0.009780925,0.081779396,0,0,0,0.064688892,0,0.118663939,0.062773673,0.14855705
RT11,0.008167721,0,0.009712516,0.046941596,0.071492621,0.204914374,0,0,0,0,0.133359413,0,0.118627114,0.113228172,0.047122857,0.005514522,0,0.003534556,0,0.051390043,0.047370742,0.138623755
RT12,0.005173185,0,0.010777899,0.16162877,0,0.305892706,0,0,0,0,0,0.075428182,0,0.08933813,0.14000742,0.109421121,0.003343487,0,0.0989891,0,0,0
RT13,0.012780992,0,0.026750385,0,0,0.286195675,0.007436711,0,0,0,0.126921282,0,0,0.18122848,0.238475767,0.059760372,0,0.042234191,0.018216145,0,0,0
RT15,0.058488249,0.051359764,0.085643844,0.042787011,0,0.269629336,0,0.035178688,0,0,0.154157838,0,0.072695606,0.07311623,0,0,0,0.033217911,0,0.123725522,0,0
RT16,0,0.012915231,0,0,0.02188581,0.212006815,0,0,0,0,0.106326413,0,0.003319844,0.439519577,0.004518718,0,0,0.027884556,0,0.08961834,0,0.082004696
RT17,0,0,0.01938828,0,0.024806778,0.298482088,0,0,0.074121493,0,0.166538966,0,0.134666149,0.068153435,0,0,0,0.103905812,0,0.109936999,0,0
RT18,0,0.024949176,0,0,0,0.509977196,0,0,0,0,0.197043364,0,0.072638942,0.028438885,0,0,0,0.045223441,0,0.121728996,0,0
RT19,0,0,0.00169885,0,0,0.393757549,0,0,0,0,0.08195999,0.059166818,0.141539936,0.159788546,0,0,0,0.162088311,0,0,0,0
RT20,0,0.017000518,0,0,0.011083547,0.382244119,0,0,0,0,0.191315457,0,0.024440938,0.188557232,0.011339598,0,0,0.045188938,0,0.087800876,0.023566044,0.017462733
RT21,0,0,0.006801264,0,0,0.422328824,0.001150792,0,0,0,0.129668607,0,0.012465508,0.215445894,0.054357105,0.038130706,0,0.026406971,0,0.09324433,0,0
RT22,0.006010628,0,0.013929291,0.043888045,0,0.416229766,0,0.07716609,0,0,0,0.02212217,0.01877816,0.224901882,0.019991579,0,0,0.042171198,0.099427512,0,0.015383679,0
RT23,0,0,0.0001,0,0,0.139700853,0,0.111735679,0.037819213,0,0,0.025838832,0.064256529,0.310701346,0.099406351,0.082300072,0,0.059568525,0.057354369,0,0,0.011232232
RT24,0.313699168,0.31246914,0,0,0,0.207535137,0,0.035145218,0,0,0.048495904,0,0.005720404,0.033635392,0.001680586,0.032450676,0,0.009168376,0,0,0,0
RT25,0,0.12477352,0,0.03172005,0,0.28393073,0,0.042474892,0,0,0.110778363,0,0.058831415,0.005513993,0,0,0,0.211212392,0,0.130764644,0,0
RT26,0.001063031,0.018260271,0.002251704,0.024161607,0,0.313405501,0,0.145209059,0,0,0.058470682,0,0,0.092231241,0.085431897,0.018297032,0.00836603,0.045657418,0,0.145746919,0.041447608,0
RT27,0,0,0.003392138,0,0.011311146,0.327053423,0.012394295,0,0,0,0.161933911,0,0.035129818,0.172355726,0,0,0,0.103233216,0,0.078476957,0.011411387,0.083307981
RT28,0,0,0.062263889,0,0,0.277664127,0.066212493,0.08009746,0,0,0.185734863,0,0,0.158313039,0.038890188,0.025131724,0,0.048671005,0,0.057021211,0,0
RT29,0.144720206,0,0.158206993,0.023693774,0.084987088,0.293686977,0.004627478,0,0,0,0.07882303,0,0.067592302,0.069715671,0,0.016394212,0,0.030213782,0,0.027338486,0,0
RT30,0.048422628,0.075276037,0,0,0,0.297201611,0,0.028716251,0,0,0.16046709,0,0.029188102,0.176037709,0.005858092,0,0,0.044643704,0,0.078670831,0,0.055517945
RT31,0,0,0.061711087,0.016889338,0,0.323633372,0,0,0,0,0.152908165,0,0.069194607,0.021262595,0,0,0,0.0574415,0,0.067077481,0.058540104,0.171341751
RT32,0.011891032,0,0.0932533,0.014858893,0,0.371322346,0,0,0,0,0.129888282,0,0.035584398,0.171191143,0,0.065014171,0,0.049241121,0,0.057755314,0,0
RT33,0.008879075,0,0.010727393,0,0,0.419152937,0.0008,0,0,0,0.160005193,0,0.022341737,0.159584617,0.053514182,0.035671668,0,0.033228405,0,0.074421941,0,0.02170272
RT34,0.001,0,0.04500284,0,0,0.416833374,0,0,0.047581273,0,0.06407626,0,0.051492561,0.134840146,0.074464774,0,0,0.054189802,0,0.110550144,0,0
RT35,0.261100436,0.111151087,0,0.022951547,0,0.352879332,0,0.003468131,0,0,0.085222495,0,0.01579506,0.030802443,0,0.054041294,0,0.034066233,0,0.028521942,0,0
RT36,0.038155402,0,0.037923759,0.041987944,0.0004,0.265106709,0,0,0,0,0.076084927,0,0.071026186,0.15647989,0.04950494,0.161896139,0.017683845,0.009019348,0,0.035762211,0.003390338,0.035576882
RT37,0,0,0.004093726,0,0,0.31601626,0,0.011418585,0,0,0.152699016,0,0.039673635,0.134629521,0.085293441,0,0,0.032956656,0,0.104395774,0.075684475,0.043138911
RT38,0,0,0.131432388,0,0,0.490212575,0,0,0,0,0.124739362,0,0.028209338,0.013646176,0.021547288,0.128252923,0.0002,0.037840454,0,0.023942052,0,0
RT39,0.13487103,0,0.014799483,0.021959774,0,0.210219703,0.273326625,0,0,0,0.019661877,0.010701486,0.009908062,0.129937377,0,0,0,0.066725546,0.072697959,0,0,0.035191079
RT40,0,0,0.033352079,0,0.0007,0.260760979,0,0.035656976,0,0,0.192078409,0,0.049610577,0.11136777,0.075649481,0.04883166,0,0.025455368,0,0.099030105,0.004581448,0.062892574
