gene,ANK2,FADS6,FBXW4,GFRA1,GGCX,HLA.DRB3,IFT122,LINC01473,PALM,PIWIL1,PLUT,PRPH,PRR5.ARHGAP8,RASGEF1C,SORCS1,TOX2,U2AF1L4,ZSWIM1
RT10,1.33058386,-2.58845847,1.08949811,0.32323812,1.12390659,-4.39016809,0.833758,-0.5184767,-0.60821257,-5.13988505,-2.47541658,-1.31662151,-0.11618856,-2.71252992,0.03794479,-0.14182052,-0.8410463,0.82398733
RT11,0.6114124,-1.4947144,0.9772779,0.3137783,1.2486678,-5.2726064,0.1412229,-2.3646978,-0.4835309,-2.1936819,-2.4795075,-2.6845676,-3.2868014,-3.0071816,-1.576871,-1.9714545,-0.9004779,0.6145142
RT12,0.9929443,-1.5815557,1.1082175,0.5467525,1.0578704,1.7555851,0.7222198,-0.8846839,-0.4672961,-3.8670199,-2.5334987,-2.0025699,-0.8839466,-2.6436376,-0.7815446,-0.6428297,-0.3654769,0.6744563
RT13,0.28885899,-2.36524228,1.33475553,-0.61310764,1.07863527,-0.72348245,0.87807009,-0.71539271,-1.16798035,-4.6333014,-2.32141191,-3.66266929,0.14484916,-3.81538419,-1.18210135,-0.80949004,-0.23680291,0.60615555
RT15,1.07584583,-1.75165077,1.14526599,0.26056201,1.00902095,1.1398166,0.58570937,-0.94129629,-0.60149443,-5.47664033,-3.20337389,-2.51357806,0.04090216,-2.57928158,-0.47731439,-0.6868148,-0.76903126,0.71263678
RT17,-1.8089708,-1.915125,0.5773375,-1.4459434,1.2397566,-4.7134611,0.5815232,-1.4846448,-1.7465426,-1.3200433,-1.5947954,-3.7993988,-4.8855622,-3.9521137,-2.8503072,-3.0862857,-0.8268391,1.3644319
RT18,1.0152178,-2.0355177,0.9310636,0.1289414,1.1195706,1.0697145,0.3773812,-1.3889555,-1.0148646,-3.6602868,-2.9285498,-2.535504,-1.745173,-2.4369044,-0.5619081,-0.8238621,-0.885935,1.0053783
RT19,-1.4650401,-0.7586907,0.3180981,-1.8984389,1.2016279,-4.1258715,-0.2017782,-1.3050171,-1.03956,-1.8335629,0.3295221,-5.0060655,-3.4054024,-4.7533153,-2.9583617,-2.9066581,-1.0326142,0.8376409
RT20,0.2687595,-1.1437033,0.9200876,-0.9150708,1.12962,-0.6174065,0.3646547,-1.1536567,-1.4553212,-1.5298436,-2.1084429,-2.7033346,-1.6273434,-3.7323513,-1.5744921,-1.9841341,-0.9677731,0.8707163
RT21,1.1900385,-2.4029565,1.3711233,0.3668835,1.3503662,-0.3698365,0.606349,-0.9146151,-1.2255271,-4.6965488,-2.8318615,-1.7063677,-1.2405259,-3.3172414,-0.7991613,-0.7490822,-0.5380042,0.836412
RT22,1.0557332,-3.6088427,1.0931254,0.5650787,1.2361398,0.8290807,0.4148888,-1.3222136,-0.4394683,-3.7322417,-2.4410026,-3.0934359,-5.4084699,-3.1638646,-0.7999352,-1.2570882,-1.2616987,0.7701926
RT24,0.5845585,-1.6550036,1.0316911,-0.2893339,1.16291,0.996158,0.8275069,-1.4088242,-1.4151904,-3.5593411,-2.3314526,-2.5150702,-1.341018,-2.990964,-0.854092,-0.9057956,-0.5313273,0.9893155
RT25,1.06203577,-2.14403503,0.76293321,0.15647463,1.2168864,1.66593003,0.20338583,-1.83693172,0.05452117,-4.18811932,-2.47579933,-1.93680033,-1.56935036,-2.52112988,-0.47305339,-1.05965577,-0.87285948,0.91688698
RT26,0.2105906,-1.6106802,1.1347272,-0.8164809,1.1704295,-0.2021511,0.7464851,-1.1952029,-0.7939086,-3.605231,-1.8593624,-2.5692611,-5.2814591,-2.9568112,-1.2860481,-1.1618418,-0.5147099,1.0646688
RT27,1.80904857,-2.58311004,0.99079668,1.12640357,1.10873536,1.0115649,0.2820328,-1.29206944,0.05548953,-4.01072664,-2.26719272,-0.71773021,-1.39248456,-2.27091834,0.23611194,-0.83032245,-0.66442128,0.76212087
RT28,0.4253284,-1.1839169,1.3388791,-1.7069673,1.0173948,-4.2218935,0.6504416,-1.2162991,-0.7574809,-2.0858821,-2.36788,-2.6510491,0.9707603,-3.1914814,-1.1723925,-0.2071618,-0.387052,0.9534507
RT29,0.1949019,-1.1866629,1.0476095,-0.6764907,1.3855996,-4.0113039,0.5261464,-1.2934916,-0.9097968,-2.8561218,-2.7137817,-2.9131669,-2.6907691,-3.8563606,-1.4677386,-1.1725712,-1.1758842,0.7554147
RT30,0.4547234,-1.2537039,1.3028866,-0.4534146,1.1547705,0.9208344,0.8138719,-1.6053565,-0.5390858,-2.369579,-1.6094008,-2.1238158,1.0097203,-3.4751783,-0.9220068,-1.0088375,-0.3389856,0.6945733
RT31,1.109640192,-1.927929906,1.11730223,0.095287564,0.995170362,-3.641748607,0.560690699,-1.501452374,-0.003741133,-2.484364114,-2.040866962,-1.132608501,-0.026238806,-2.272661913,-0.245204711,-0.671601752,-0.474960157,0.78161822
RT32,0.9959407,-1.131444,1.2159696,0.1935028,1.0068406,-3.9778791,0.7205826,-1.0000994,-0.6810432,-3.9238062,-2.3199662,-2.1115126,-0.924019,-2.2159948,-0.215916,-1.1947531,-0.4445473,0.8338457
RT33,-0.05155514,-0.97040385,1.09638215,-0.86878675,1.11001345,-5.88643664,0.46845413,-1.46985528,-1.02491879,-5.13671967,-2.97290564,-2.30704277,-3.17984535,-3.55674162,-2.33794448,-2.16650452,-0.91098834,0.84047559
RT34,0.07719989,-1.9190772,1.15575462,-1.15673181,1.25481754,-3.67874828,0.28579558,-1.6375328,-0.50171541,-3.84211692,-2.345989,-3.49099318,-0.60557619,-3.56142184,-1.24005202,-1.09504532,-0.65922323,0.73441385
RT35,0.8009488,-1.901803,0.6089532,-0.1807337,1.0800929,0.1684356,0.4085974,-0.7016951,-1.2699277,-5.0976387,-2.0786867,-3.3754357,-5.6752545,-4.1237964,-1.6057163,-1.3652834,-0.728929,0.5050626
RT39,0.5735721,-2.0403496,1.378395,-1.1310266,0.9994093,-1.4565525,0.8395462,-1.0532403,-1.4273313,-4.0022649,-3.0349473,-2.0825253,-0.0873307,-3.0284227,-1.1344969,-1.1534106,-0.4270703,0.8112277
RT5,0.7019219,-2.0298899,1.1488099,-0.217154,1.0210977,0.1939325,0.768537,-0.9780748,-1.1013865,-4.9233825,-3.3338663,-1.2237218,-0.3801081,-3.124636,-0.9887558,-0.7273317,-0.2606408,0.7525013
RT6,1.3489221,-2.87584294,1.17797385,0.78124282,0.98248432,1.67442398,0.69134548,-0.52593803,-1.3234493,-5.52843755,-2.86867082,-3.17151108,-1.00873518,-2.76461018,0.20900395,-0.46596782,-0.03564609,0.51985907
RT7,1.30380124,-2.59737961,1.06889396,0.63161301,0.99579476,1.41848541,0.66963728,-1.14505016,-0.48656215,-2.88343385,-2.36984986,-1.17313455,-0.67418539,-2.75866381,-0.09122206,-1.15316863,-0.26500764,0.64599575
RT9,1.046139,-1.6434244,1.4326374,-0.5677459,1.0488634,-0.3352708,0.7704849,-0.5268143,-0.4767731,-5.2920209,-3.180084,-1.6358114,-0.3235673,-3.0878093,-1.0450195,-0.6124601,-0.3670635,0.9120038
