cell,B.cells.memory,Plasma.cells,Monocytes,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Eosinophils,Neutrophils
RT10,-0.03423678,-0.03636715,-0.03763872,-0.04250628,0.01813802,-0.04075591,0.01541063,0.08865848
RT11,-0.03454513,-0.032141622,0.06442167,-0.042814624,-0.041324641,-0.041064258,0.000503085,0.079664011
RT12,-0.03356803,-0.03010994,-0.04670337,-0.03849962,-0.04387587,0.0543036,-0.04480279,-0.04917919
RT13,-0.033209088,-0.014072383,-0.04634443,-0.041478582,-0.002150253,-0.021675997,-0.044443841,-0.048820248
RT15,0.01586838,0.04069512,0.02282344,-0.04248545,-0.01184567,-0.04073508,-0.04545071,-0.04982711
RT17,-0.03367684,-0.02173626,0.07952628,-0.04194633,0.05486995,-0.04019597,-0.04491159,-0.049288
RT18,-0.006669415,-0.038574586,0.02567413,-0.039581935,0.002610406,-0.037831569,-0.042547195,-0.046923601
RT19,-0.03253672,-0.03810145,0.08670612,-0.04080621,0.1073741,-0.03905584,-0.04377147,-0.04814787
RT20,-0.015814453,-0.039934224,-0.021660384,-0.040941574,0.001217757,-0.039191207,-0.020614181,-0.030971228
RT21,-0.04909995,-0.03505957,-0.02357616,-0.04083046,-0.01272779,-0.04258083,-0.0378652,-0.0334888
RT22,-0.049299855,-0.028204541,-0.017560486,-0.041030361,0.002314207,0.052008874,-0.022798552,-0.033688695
RT24,0.22273982,-0.04190824,-0.03033093,-0.04090089,-0.02973594,-0.04265125,-0.03793563,-0.03355922
RT25,0.06723811,-0.04308144,0.01995762,-0.04207409,0.15158608,-0.04382446,-0.03910883,-0.03473243
RT26,-0.032508049,-0.041092287,-0.037468262,-0.034002881,0.004350026,-0.044084476,0.001242826,-0.034992444
RT27,-0.050167563,-0.039519021,-0.002505374,-0.041898069,0.058385427,-0.043648435,-0.027586041,0.045462902
RT28,-0.050675641,0.016988878,-0.0375403,-0.042406148,0.007155846,-0.044156514,-0.039440888,-0.035064482
RT29,-0.05071749,0.10341776,0.02782378,-0.042448,-0.01064332,-0.04419837,-0.03948274,-0.03510633
RT30,0.022014165,-0.043301098,-0.008657659,-0.042293748,0.003420466,-0.044044114,-0.039328489,0.019079507
RT31,-0.05036566,0.01677833,0.02967535,-0.04209616,0.01579449,-0.04384653,0.01775979,0.12339539
RT32,-0.049945387,0.046474687,-0.001844142,-0.041675893,0.008429608,-0.043426259,-0.038710634,-0.034334227
RT33,-0.049411806,-0.031479399,-0.014180647,-0.041142312,-0.006415697,-0.042892678,-0.038177052,-0.012330077
RT34,-0.049689635,0.001592112,0.013656349,-0.041420141,0.013390711,-0.043170507,-0.038454882,-0.034078475
RT35,0.055723657,-0.042410692,-0.020865878,-0.041403343,-0.005866173,-0.043153709,-0.038438083,-0.034061677
RT39,-0.050538419,-0.028585236,-0.027543778,-0.042268925,0.024363134,0.026157641,-0.039303666,-0.000341233
RT5,-0.033155065,0.083088015,-0.046290407,-0.041424559,-0.016331967,-0.017300217,-0.044389819,-0.048766225
RT6,-0.03280081,0.04819936,-0.03987064,-0.0410703,-0.02102144,-0.02067487,-0.04403556,-0.04386222
RT7,-0.032571574,-0.039833718,0.00862812,-0.040841068,0.028662215,-0.039090701,-0.043806327,-0.031144506
RT9,-0.031637803,0.143793827,-0.001743617,-0.039907297,0.007040126,-0.038156931,-0.042872557,-0.047248963
