taxa,f_Micrococcaceae,f_Bifidobacteriaceae,g_Streptococcus,s_Bifidobacterium.longum,s_Fusobacterium.nucleatum
RT10,-0.014388835,-0.018622385,0.002561242,-0.0191274,-0.012728117
RT11,-0.02291295,-0.016023741,-0.005375165,-0.018495045,0.027739019
RT12,-0.010367192,-0.01806349,0.006816437,-0.017906645,-0.00479317
RT13,-0.009214218,-0.016479142,0.030350315,-0.01882485,-0.008979245
RT15,-0.019502439,-0.017726112,-0.003392404,-0.018130386,-0.004917434
RT17,-0.016379179,-0.016581117,0.00659894,-0.020006059,-0.001543808
RT18,-0.007607454,-0.018426363,0.006870265,-0.017645838,-0.012566686
RT19,-0.016762439,-0.019699931,0.007220147,-0.018479939,-0.005733395
RT20,-0.016990218,-0.018719693,0.012742918,-0.018473016,0.035886026
RT21,-0.009924399,-0.023843409,-0.013541972,-0.021636939,-0.025383645
RT22,-0.001581371,-0.023865646,-0.020068204,-0.023773864,-0.008433698
RT24,-0.01405126,-0.023941598,-0.01946169,-0.023307715,-0.004146253
RT25,-0.014665634,-0.020045254,-0.022603238,-0.018825332,-0.024595521
RT26,-0.017109789,-0.024228281,-0.022456781,-0.023469078,-0.025811418
RT27,-0.015172772,-0.023704981,-0.019607812,-0.021039166,-0.025724771
RT28,-0.019644194,-0.024831656,-0.020994122,-0.024805448,0.207020157
RT29,-0.019072195,-0.024495875,0.095051087,-0.024952423,-0.029077148
RT30,-0.016425846,0.062253579,-0.012274489,0.025511196,-0.019637555
RT31,-0.010653207,-0.021061649,-0.019401176,-0.015865584,-0.015361519
RT32,-0.01714313,-0.009510727,-0.021462479,-0.006660415,-0.028608115
RT33,-0.017453929,-0.024142042,0.152360739,-0.021839787,-0.028345812
RT34,-0.016676581,-0.024254574,0.09700073,-0.022067404,0.051743946
RT35,-0.017276293,-0.02422038,-0.024971217,-0.023551633,-0.001870019
RT39,-0.018669318,-0.023285374,-0.028449386,-0.023272185,0.053782946
RT5,-0.020355584,-0.019669181,-0.000731281,-0.019457217,-0.013857164
RT6,-0.014510219,-0.015800067,-5.74E-05,-0.016803598,-0.012064524
RT7,-0.012004456,-0.018237271,0.000489154,-0.017857937,-0.009903154
RT9,-0.012774465,-0.018617935,0.003105207,-0.017531327,-0.013750034
